synthetic,"a.合成的,人造的;综合的"
synthesis,"n.(pl.syntheses)综合,合成"
symposium,"n.讨论会,专题报告会;专题论文集"
sympathy,n.同情，同情心；赞同，同感；慰问
swell,n./v.肿胀;膨胀;增大;增加;
swing,"v.摇摆,摇荡,回转,旋转?n.秋千;摇摆,摆动"
swarm,n.蜂群;一大群?vi.涌往;挤满;云集;成群移动
sustain,"vt.支撑,撑住;维持,持续,经受,忍耐"
swear,"v.(at)诅咒,骂人;宣誓,发誓"
suspect,v.猜想；怀疑；察觉?a.可疑的?n.嫌疑犯
suspend,v.悬(浮)，挂；暂停，取消；推迟
susceptible,a.易受影响的;易受感动的;易受感染的
surplus,"n.过剩,剩余；余款,余额?a.过剩的,剩余的"
surpass,"vt.超过,胜过"
routine,"n.例行公事,常规?a.常规的,例行的"
rot,"v.(使)腐烂,(使)腐败,腐朽"
rival,"n.竞争者,对手?v.竞争,对抗?a.竞争的"
rigorous,"a.严格的,严厉的,严酷的,严密的,严谨的"
rigid,a.刚性的;刻板的;严厉的
revolve,"v.(使)旋转;考虑;【天】公转,循环"
revolutionary,"a.革命的,革新的?n.革命者"
revolution,"n.革命;旋转,转数"
revive,v.恢复;(使)复苏
revise,"v.修订,校订;修正,修改"
reverse,"n.相反;背面?a.相反的?v.颠倒,倒转"
puzzle,"n.难题,谜,迷惑?v.(使)迷惑,(使)为难"
pursuit,"n.追赶,追求;职业,工作"
pursue,"v.追赶,追踪;继续,从事"
purchase,"v.买,购买?n.购买的物品"
overwhelming,"a.势不可挡的,压倒的"
overwhelm,"v.淹没,覆没,压倒,制服,使不知所措"
overturn,"n.倾覆,破灭,革命?v.打翻,推翻,颠倒,翻倒"
nurture,"n./v.养育,教育,教养?n.营养品v.给与营养物"
overtake,"v.追上,超过,突然降临,压倒"
item,n.条(款)，项目；一则(新闻)，(戏剧的)节目
issue,"n.问题,争端,发行(物),期号?vt.发行,流出"
extreme,"a.末端的,尽头的;极度的?n.极端;最大程度"
extravagant,a.奢侈的;过分的;(言行等)放肆的
awkward,a.笨拙的；尴尬的；使用不便的；难处理的
current,"n.电流,水流;潮流,趋势?a.当前的;流通的"
surgery,"n.外科,外科学;手术室,诊疗室"
surgeon,n.外科医生
surge,vi.汹涌；彭湃；蜂拥而至?n.巨浪;汹涌;彭湃
supreme,"a.极度的,最重要的;至高的,最高的"
supplement,"n.补遗;增刊;附录?v.增刊,补充"
suppress,"v.镇压,压制;抑制,忍住;查禁"
superficial,"a.表面的;肤浅的,浅薄的"
revenue,"n.财政收入,税收"
revenge,"n.报复,复仇?v.替…报仇"
reveal,"v.展现,显示,揭示,揭露,告诉,泄露"
retreat,"v.撤退,退却"
retort,"n./v.报复,反击,反驳"
retain,"v.保持,保留"
retail,n.零售
resume,"n.个人简历?v.再继续,重新开始;再用;恢复"
restrict,"v.限制,约束"
restraint,"n.抑制,制止"
restrain,"v.(from)抑制,制止"
pump,"n.泵?v.用(泵)抽(水);打气,泵送"
publicity,"n.公开,宣传,广告,推销"
publication,"n.出版物;出版,发行;公布,发表"
novel,"n.(长篇)小说?a.新奇的,新颖的"
notorious,"a.臭名昭著的,声名狼藉的"
noble,"a.高尚的;贵族的,高贵的?n.贵族"
myth,n.神话;虚构的理论
mutual,a.相互的，彼此的；共同的，共有的
municipal,"a.市(立,政)的;地方性的,地方自治的"
inverse,"a.相反的,倒转的,反转的?n.相反之物?v.倒转"
intrigue,"n.阴谋v.密谋,私通;激起…的兴趣;诡计取得"
hypothesis,"n.假说,假设,前提"
extract,"v./n.拔出,抽出;摘录?n.抽取物;精华;选集"
extinguish,v.熄灭;消灭;结束;压制;使黯然失色;偿清
extinct,a.灭绝的;熄灭了的
dump,"v.倾倒,倾卸?n.垃圾场"
dull,"a.单调的;迟钝的,愚笨的;不锋利的"
due,"a.(to)应支付的;(车,船等)预定应到达的"
cue,"暗示,?提示,?球杆"
crude,"a.天然的,未加工的;未熟的;粗鲁的,粗野的"
crucial,"a.至关重要的,决定性的"
critical,"a.批评的,评论的;危急,紧要的;临界的"
avail,"n.[一般用于否定句或疑问句中]效用,利益"
auxiliary,a.辅助的，支援的?n.辅助者，辅助设备
vulnerable,a.易受攻击的
vulgar,a.粗俗的，庸俗的，本土的，通俗的，普通的
twist,v.捻;拧;扭曲;蜿蜒曲折而行?n.拧;歪曲;曲折
turbulent,"a.狂暴的,无秩序的"
tune,"n.调子,曲调;和谐,协调?vt.调音,调节,调整"
tumble,"v.(使)摔倒;打滚,翻腾?n.摔跤,跌倒"
trivial,a.琐碎的;无足轻重的
restore,"v.恢复,使回复;归还,交还;修复,重建"
psychology,"n.心理,心理学,心理状态"
prudent,"a.谨慎的,智慧的,稳健的,节俭的"
province,"n.省;领域,范围,本分"
provided,"conj.倘若,只要,假如"
prosperous,"a.繁荣的,兴旺的,茂盛的,顺利的"
prosperity,"n.繁荣,兴旺"
prosper,"v.成功,兴隆,昌盛,使成功,使昌隆,繁荣"
prospect,"n.景色;前景,前途,展望"
proposition,"n.主张,建议;陈述,命题"
propose,"v.提议,建议;提名,推荐;求婚"
proposal,"n.提议,建议;求婚"
proportion,"n.比例;部分;均衡,相称"
property,"n.财产,资产,地产,房地产,所有物;性质,特性"
propel,vt.推进，推动；激励，驱使
negotiate,v.商订；谈判，洽谈，交涉
lump,"n.团,块?v.(使)成团,(使)成块"
lottery,n.抽彩；碰运气的事，难于算计的事
lord,"n.(Lord)上帝,主;主人,长官,君主,贵族"
intervene,"v.(in)干涉,干预;插入,介入"
interpret,"vt.解释,说明;口译"
intermittent,"a.间歇的,断断续续的"
interfere,"v.(in)干涉,干预;(with)妨碍,打扰"
interest,"n.(in)兴趣,重要性;利益v.(in)使发生兴趣"
intercourse,"n.交流,交往,交际,性交"
intention,"n.意图,意向,目的"
intensive,"a.加强的,集中的,深入细致的,精耕细作的"
intense,"a.强烈的,剧烈的;热烈的,热情的"
intend,"vt.想要,打算,企图"
humiliate,v.使羞辱，使丢脸[同]disgrace
humble,"a.谦卑的,恭顺的;地位低下的?v.降低,贬低"
external,a.外部的;客观的;外国的;表面的;[医]外用的
express,"v.表达,表示?a.特快的,快速的?n.快车,快运"
extent,"n.广度,宽度,长度;程度,限度"
extensive,"a.广大的,广阔的"
extension,n.延长;扩大;范围;大小;尺寸;电话分机
extend,"v.延长,延伸;扩充;给予;提供;估价"
drought,"n.旱灾,干旱"
drift,"v./n.漂,漂流(物)"
dread,"v./n.恐惧,担心"
crisis,"n.(pl.crises)危机,紧要关头"
cripple,"n.跛子,残疾人?v.使跛,使残疾"
credit,"v./n.信用,信任?n.信用贷款,赊欠;名誉,名望"
craft,"n.工艺,手艺,技巧;飞机,飞船"
crack,"n.裂纹,缝隙;破裂声?v.(使)破裂,砸开"
courtesy,n.谦恭有礼;有礼貌的举止(或言词)
court,"n.法院,法庭;宫廷,朝廷;院子;球场"
attribute,"v.(to)归因于,归属于?n.属性,品质,特征"
responsible,"a.(for,to)应负责的;可靠的;责任重大的"
respective,"a.各自的,各个的"
resort,"v.凭借,求助n.度假胜地,常去之处,手段"
